Compared 252 tensors against PTQ(base).
tensor                                                                  cos_mean   cos_std   cos_min   cos_max
  model.layers.18.self_attn.k_proj.weight                                 0.7944    0.0069    0.7405    0.8113
  model.layers.18.self_attn.o_proj.weight                                 0.7964    0.0047    0.7632    0.8104
  model.layers.18.self_attn.q_proj.weight                                 0.7953    0.0060    0.7544    0.8118
  model.layers.18.self_attn.v_proj.weight                                 0.7946    0.0060    0.7741    0.8077
  model.layers.19.mlp.down_proj.weight                                    0.7848    0.0218    0.4757    0.8004
  model.layers.19.mlp.gate_proj.weight                                    0.7931    0.0161    0.4731    0.8132
  model.layers.19.mlp.up_proj.weight                                      0.7932    0.0166    0.4872    0.8147
  model.layers.19.self_attn.k_proj.weight                                 0.7911    0.0190    0.6292    0.8074
  model.layers.19.self_attn.o_proj.weight                                 0.7953    0.0057    0.7455    0.8110
  model.layers.19.self_attn.q_proj.weight                                 0.7925    0.0136    0.6411    0.8101
  model.layers.19.self_attn.v_proj.weight                                 0.7939    0.0060    0.7528    0.8087
  model.layers.2.mlp.down_proj.weight                                     0.6543    0.0262    0.5381    0.8226
  model.layers.2.mlp.gate_proj.weight                                     0.6762    0.1394    0.3599    0.8231
  model.layers.2.mlp.up_proj.weight                                       0.7885    0.0183    0.5334    0.8465
  model.layers.2.self_attn.k_proj.weight                                  0.7935    0.0122    0.6986    0.8106
  model.layers.2.self_attn.o_proj.weight                                  0.7984    0.0043    0.7545    0.8111
  model.layers.2.self_attn.q_proj.weight                                  0.7947    0.0072    0.7292    0.8136
  model.layers.2.self_attn.v_proj.weight                                  0.7948    0.0053    0.7605    0.8076
  model.layers.20.mlp.down_proj.weight                                    0.7872    0.0156    0.6580    0.8015
  model.layers.20.mlp.gate_proj.weight                                    0.7947    0.0122    0.5739    0.8151
  model.layers.20.mlp.up_proj.weight                                      0.7951    0.0101    0.5188    0.8134
  model.layers.20.self_attn.k_proj.weight                                 0.7940    0.0074    0.7595    0.8101
  model.layers.20.self_attn.o_proj.weight                                 0.7960    0.0047    0.7352    0.8123
  model.layers.20.self_attn.q_proj.weight                                 0.7943    0.0086    0.6970    0.8114
  model.layers.20.self_attn.v_proj.weight                                 0.7911    0.0084    0.7595    0.8078
  model.layers.21.mlp.down_proj.weight                                    0.7877    0.0140    0.5686    0.8011
  model.layers.21.mlp.gate_proj.weight                                    0.7937    0.0135    0.5206    0.8122
  model.layers.21.mlp.up_proj.weight                                      0.7951    0.0090    0.6041    0.8151
  model.layers.21.self_attn.k_proj.weight                                 0.7930    0.0072    0.7513    0.8109
  model.layers.21.self_attn.o_proj.weight                                 0.7951    0.0044    0.7732    0.8069
  model.layers.21.self_attn.q_proj.weight                                 0.7940    0.0079    0.7090    0.8134
  model.layers.21.self_attn.v_proj.weight                                 0.7901    0.0153    0.7108    0.8105
  model.layers.22.mlp.down_proj.weight                                    0.7866    0.0196    0.5207    0.8012
  model.layers.22.mlp.gate_proj.weight                                    0.7931    0.0153    0.4527    0.8134
  model.layers.22.mlp.up_proj.weight                                      0.7949    0.0119    0.4139    0.8130
  model.layers.22.self_attn.k_proj.weight                                 0.7937    0.0114    0.6857    0.8153
  model.layers.22.self_attn.o_proj.weight                                 0.7956    0.0049    0.7620    0.8086
  model.layers.22.self_attn.q_proj.weight                                 0.7942    0.0116    0.6373    0.8133
  model.layers.22.self_attn.v_proj.weight                                 0.7872    0.0134    0.7138    0.8088
  model.layers.23.mlp.down_proj.weight                                    0.7887    0.0186    0.5754    0.8042
  model.layers.23.mlp.gate_proj.weight                                    0.7944    0.0114    0.5362    0.8136
  model.layers.23.mlp.up_proj.weight                                      0.7958    0.0093    0.5424    0.8140
  model.layers.23.self_attn.k_proj.weight                                 0.7939    0.0095    0.7276    0.8079
  model.layers.23.self_attn.o_proj.weight                                 0.7954    0.0050    0.7282    0.8147
  model.layers.23.self_attn.q_proj.weight                                 0.7942    0.0093    0.6740    0.8200
  model.layers.23.self_attn.v_proj.weight                                 0.7820    0.0163    0.7038    0.8077
  model.layers.24.mlp.down_proj.weight                                    0.7915    0.0137    0.6225    0.8045
  model.layers.24.mlp.gate_proj.weight                                    0.7955    0.0091    0.5689    0.8169
  model.layers.24.mlp.up_proj.weight                                      0.7964    0.0078    0.6540    0.8147
  model.layers.24.self_attn.k_proj.weight                                 0.7929    0.0086    0.7167    0.8097
  model.layers.24.self_attn.o_proj.weight                                 0.7964    0.0061    0.7551    0.8744
  model.layers.24.self_attn.q_proj.weight                                 0.7934    0.0086    0.7004    0.8119
  model.layers.24.self_attn.v_proj.weight                                 0.7746    0.0225    0.7056    0.8054
  model.layers.25.mlp.down_proj.weight                                    0.7922    0.0144    0.6087    0.8054
  model.layers.25.mlp.gate_proj.weight                                    0.7957    0.0103    0.4889    0.8141
  model.layers.25.mlp.up_proj.weight                                      0.7966    0.0095    0.5051    0.8151
  model.layers.25.self_attn.k_proj.weight                                 0.7953    0.0071    0.7072    0.8086
  model.layers.25.self_attn.o_proj.weight                                 0.7980    0.0037    0.7835    0.8135
  model.layers.25.self_attn.q_proj.weight                                 0.7956    0.0079    0.6360    0.8139
  model.layers.25.self_attn.v_proj.weight                                 0.7915    0.0085    0.7547    0.8135
  model.layers.26.mlp.down_proj.weight                                    0.7945    0.0094    0.6699    0.8064
  model.layers.26.mlp.gate_proj.weight                                    0.7966    0.0077    0.6797    0.8133
  model.layers.26.mlp.up_proj.weight                                      0.7972    0.0087    0.3722    0.8134
  model.layers.26.self_attn.k_proj.weight                                 0.7949    0.0071    0.7431    0.8128
  model.layers.26.self_attn.o_proj.weight                                 0.7975    0.0041    0.7522    0.8099
  model.layers.26.self_attn.q_proj.weight                                 0.7950    0.0087    0.6684    0.8141
  model.layers.26.self_attn.v_proj.weight                                 0.7893    0.0076    0.7647    0.8082
  model.layers.27.mlp.down_proj.weight                                    0.7938    0.0121    0.6941    0.8054
  model.layers.27.mlp.gate_proj.weight                                    0.7966    0.0098    0.5691    0.8138
  model.layers.27.mlp.up_proj.weight                                      0.7973    0.0086    0.6144    0.8145
  model.layers.27.self_attn.k_proj.weight                                 0.7950    0.0072    0.7178    0.8106
  model.layers.27.self_attn.o_proj.weight                                 0.7969    0.0043    0.7529    0.8283
  model.layers.27.self_attn.q_proj.weight                                 0.7965    0.0067    0.6802    0.8138
  model.layers.27.self_attn.v_proj.weight                                 0.7879    0.0085    0.7583    0.8109
  model.layers.28.mlp.down_proj.weight                                    0.7937    0.0143    0.6577    0.8061
  model.layers.28.mlp.gate_proj.weight                                    0.7965    0.0113    0.5898    0.8165
  model.layers.28.mlp.up_proj.weight                                      0.7973    0.0096    0.4549    0.8148
