Compared 252 tensors.
tensor                                                                  flip_frac
  model.layers.23.mlp.up_proj.weight                                      0.2851
  model.layers.23.self_attn.k_proj.weight                                 0.2794
  model.layers.23.self_attn.o_proj.weight                                 0.2404
  model.layers.23.self_attn.q_proj.weight                                 0.3006
  model.layers.23.self_attn.v_proj.weight                                 0.2079
  model.layers.24.mlp.down_proj.weight                                    0.2424
  model.layers.24.mlp.gate_proj.weight                                    0.2996
  model.layers.24.mlp.up_proj.weight                                      0.2913
  model.layers.24.self_attn.k_proj.weight                                 0.2937
  model.layers.24.self_attn.o_proj.weight                                 0.2518
  model.layers.24.self_attn.q_proj.weight                                 0.3038
  model.layers.24.self_attn.v_proj.weight                                 0.2298
  model.layers.25.mlp.down_proj.weight                                    0.2455
  model.layers.25.mlp.gate_proj.weight                                    0.2996
  model.layers.25.mlp.up_proj.weight                                      0.2939
  model.layers.25.self_attn.k_proj.weight                                 0.2880
  model.layers.25.self_attn.o_proj.weight                                 0.2707
  model.layers.25.self_attn.q_proj.weight                                 0.3193
  model.layers.25.self_attn.v_proj.weight                                 0.2251
  model.layers.26.mlp.down_proj.weight                                    0.2460
  model.layers.26.mlp.gate_proj.weight                                    0.2977
  model.layers.26.mlp.up_proj.weight                                      0.2944
  model.layers.26.self_attn.k_proj.weight                                 0.2911
  model.layers.26.self_attn.o_proj.weight                                 0.2666
  model.layers.26.self_attn.q_proj.weight                                 0.3186
  model.layers.26.self_attn.v_proj.weight                                 0.2219
  model.layers.27.mlp.down_proj.weight                                    0.2465
  model.layers.27.mlp.gate_proj.weight                                    0.2966
  model.layers.27.mlp.up_proj.weight                                      0.2937
  model.layers.27.self_attn.k_proj.weight                                 0.3009
  model.layers.27.self_attn.o_proj.weight                                 0.2755
  model.layers.27.self_attn.q_proj.weight                                 0.3273
  model.layers.27.self_attn.v_proj.weight                                 0.2366
  model.layers.28.mlp.down_proj.weight                                    0.2465
  model.layers.28.mlp.gate_proj.weight                                    0.2932
  model.layers.28.mlp.up_proj.weight                                      0.2913
  model.layers.28.self_attn.k_proj.weight                                 0.2950
  model.layers.28.self_attn.o_proj.weight                                 0.2779
  model.layers.28.self_attn.q_proj.weight                                 0.3161
  model.layers.28.self_attn.v_proj.weight                                 0.2268
  model.layers.29.mlp.down_proj.weight                                    0.2463
  model.layers.29.mlp.gate_proj.weight                                    0.2928
  model.layers.29.mlp.up_proj.weight                                      0.2919
  model.layers.29.self_attn.k_proj.weight                                 0.3139
  model.layers.29.self_attn.o_proj.weight                                 0.2764
  model.layers.29.self_attn.q_proj.weight                                 0.3181
  model.layers.29.self_attn.v_proj.weight                                 0.2616
  model.layers.3.mlp.down_proj.weight                                     0.2363
  model.layers.3.mlp.gate_proj.weight                                     0.2812
  model.layers.3.mlp.up_proj.weight                                       0.3345
  model.layers.3.self_attn.k_proj.weight                                  0.2790
  model.layers.3.self_attn.o_proj.weight                                  0.2493
  model.layers.3.self_attn.q_proj.weight                                  0.2893
  model.layers.3.self_attn.v_proj.weight                                  0.2284
  model.layers.30.mlp.down_proj.weight                                    0.2495
  model.layers.30.mlp.gate_proj.weight                                    0.2948
  model.layers.30.mlp.up_proj.weight                                      0.2934
  model.layers.30.self_attn.k_proj.weight                                 0.3065
  model.layers.30.self_attn.o_proj.weight                                 0.2862
  model.layers.30.self_attn.q_proj.weight                                 0.3406
  model.layers.30.self_attn.v_proj.weight                                 0.2371
  model.layers.31.mlp.down_proj.weight                                    0.2528
  model.layers.31.mlp.gate_proj.weight                                    0.2965
  model.layers.31.mlp.up_proj.weight                                      0.2927
  model.layers.31.self_attn.k_proj.weight                                 0.3170
  model.layers.31.self_attn.o_proj.weight                                 0.2822
  model.layers.31.self_attn.q_proj.weight                                 0.3381
  model.layers.31.self_attn.v_proj.weight                                 0.2449
  model.layers.32.mlp.down_proj.weight                                    0.2571
  model.layers.32.mlp.gate_proj.weight                                    0.3013
  model.layers.32.mlp.up_proj.weight                                      0.2925
  model.layers.32.self_attn.k_proj.weight                                 0.3230
  model.layers.32.self_attn.o_proj.weight                                 0.2912
  model.layers.32.self_attn.q_proj.weight                                 0.3385
  model.layers.32.self_attn.v_proj.weight                                 0.2570
  model.layers.33.mlp.down_proj.weight                                    0.2603
  model.layers.33.mlp.gate_proj.weight                                    0.3078
  model.layers.33.mlp.up_proj.weight                                      0.2945
  model.layers.33.self_attn.k_proj.weight                                 0.3245
  model.layers.33.self_attn.o_proj.weight                                 0.2680
  model.layers.33.self_attn.q_proj.weight                                 0.3250
  model.layers.33.self_attn.v_proj.weight                                 0.2488
  model.layers.34.mlp.down_proj.weight                                    0.2652
  model.layers.34.mlp.gate_proj.weight                                    0.3045
  model.layers.34.mlp.up_proj.weight                                      0.2968
  model.layers.34.self_attn.k_proj.weight                                 0.3246
  model.layers.34.self_attn.o_proj.weight                                 0.2882
  model.layers.34.self_attn.q_proj.weight                                 0.3378
  model.layers.34.self_attn.v_proj.weight                                 0.2497
  model.layers.35.mlp.down_proj.weight                                    0.2787
  model.layers.35.mlp.gate_proj.weight                                    0.3073
  model.layers.35.mlp.up_proj.weight                                      0.3052
  model.layers.35.self_attn.k_proj.weight                                 0.3368
  model.layers.35.self_attn.o_proj.weight                                 0.2936
  model.layers.35.self_attn.q_proj.weight                                 0.3508
  model.layers.35.self_attn.v_proj.weight                                 0.2605
  model.layers.4.mlp.down_proj.weight                                     0.2225
  model.layers.4.mlp.gate_proj.weight                                     0.2346
  model.layers.4.mlp.up_proj.weight                                       0.2892
  model.layers.4.self_attn.k_proj.weight                                  0.2669
  model.layers.4.self_attn.o_proj.weight                                  0.2446
  model.layers.4.self_attn.q_proj.weight                                  0.2903
  model.layers.4.self_attn.v_proj.weight                                  0.2171
  model.layers.5.mlp.down_proj.weight                                     0.2263
  model.layers.5.mlp.gate_proj.weight                                     0.2548
  model.layers.5.mlp.up_proj.weight                                       0.2729
  model.layers.5.self_attn.k_proj.weight                                  0.2668
  model.layers.5.self_attn.o_proj.weight                                  0.2479
  model.layers.5.self_attn.q_proj.weight                                  0.2935
  model.layers.5.self_attn.v_proj.weight                                  0.2204
  model.layers.6.mlp.down_proj.weight                                     0.2184
  model.layers.6.mlp.gate_proj.weight                                     0.2601
  model.layers.6.mlp.up_proj.weight                                       0.2703
  model.layers.6.self_attn.k_proj.weight                                  0.2645
  model.layers.6.self_attn.o_proj.weight                                  0.2386
  model.layers.6.self_attn.q_proj.weight                                  0.2957
  model.layers.6.self_attn.v_proj.weight                                  0.2030
  model.layers.7.mlp.down_proj.weight                                     0.2241
  model.layers.7.mlp.gate_proj.weight                                     0.2637
  model.layers.7.mlp.up_proj.weight                                       0.2707
  model.layers.7.self_attn.k_proj.weight                                  0.2740
  model.layers.7.self_attn.o_proj.weight                                  0.2462
  model.layers.7.self_attn.q_proj.weight                                  0.2988
  model.layers.7.self_attn.v_proj.weight                                  0.2073
  model.layers.8.mlp.down_proj.weight                                     0.2205
  model.layers.8.mlp.gate_proj.weight                                     0.2679
  model.layers.8.mlp.up_proj.weight                                       0.2620
  model.layers.8.self_attn.k_proj.weight                                  0.2658
