size=1.7B
gguf=/home/user/reversing-bonsai/models/bonsai/1.7B/gguf/Bonsai-1.7B-Q1_0.gguf
base=/home/user/reversing-bonsai/models/bonsai/1.7B/base
Indexing GGUF tensors...
  197 Q1_0 tensors indexed

Walking model-00001-of-00002.safetensors...
  L 20 v         sign=0.7503  scale=0.0000  byte=0.0000
  L 21 down      sign=0.7384  scale=0.0000  byte=0.0001
  L 21 gate      sign=0.6919  scale=0.0000  byte=0.0001
  L 21 up        sign=0.6968  scale=0.0000  byte=0.0000
  L 21 k         sign=0.6886  scale=0.0000  byte=0.0000
  L 21 o         sign=0.7374  scale=0.0000  byte=0.0001
  L 21 q         sign=0.7048  scale=0.0000  byte=0.0010
  L 21 v         sign=0.7484  scale=0.0000  byte=0.0000
  L 22 down      sign=0.7374  scale=0.0000  byte=0.0001
  L 22 gate      sign=0.6932  scale=0.0000  byte=0.0000
  L 22 up        sign=0.6980  scale=0.0000  byte=0.0000
  L 22 k         sign=0.6843  scale=0.0000  byte=0.0000
  L 22 o         sign=0.7276  scale=0.0000  byte=0.0000
  L 22 q         sign=0.6984  scale=0.0002  byte=0.0050
  L 22 v         sign=0.7398  scale=0.0000  byte=0.0000
  L 23 down      sign=0.7290  scale=0.0000  byte=0.0001
  L 23 gate      sign=0.6942  scale=0.0000  byte=0.0000
  L 23 up        sign=0.6961  scale=0.0000  byte=0.0000
  L 23 k         sign=0.6779  scale=0.0000  byte=0.0000
  L 23 o         sign=0.7261  scale=0.0000  byte=0.0001
  L 23 q         sign=0.6866  scale=0.0003  byte=0.0087
  L 23 v         sign=0.7416  scale=0.0000  byte=0.0000
  L 24 down      sign=0.7225  scale=0.0000  byte=0.0001
  L 24 gate      sign=0.6909  scale=0.0000  byte=0.0000
  L 24 up        sign=0.6955  scale=0.0000  byte=0.0000
  L 24 k         sign=0.6697  scale=0.0000  byte=0.0000
  L 24 o         sign=0.7308  scale=0.0000  byte=0.0001
  L 24 q         sign=0.6856  scale=0.0004  byte=0.0123
  L 24 v         sign=0.7388  scale=0.0000  byte=0.0000
  L 25 down      sign=0.7167  scale=0.0000  byte=0.0000
  L 25 gate      sign=0.6844  scale=0.0000  byte=0.0000
  L 25 up        sign=0.6938  scale=0.0000  byte=0.0000
  L 25 k         sign=0.6731  scale=0.0000  byte=0.0000
  L 25 o         sign=0.7345  scale=0.0000  byte=0.0002
  L 25 q         sign=0.6922  scale=0.0004  byte=0.0138
  L 25 v         sign=0.7474  scale=0.0000  byte=0.0000
  L 26 down      sign=0.7113  scale=0.0000  byte=0.0000
  L 26 gate      sign=0.6829  scale=0.0000  byte=0.0000
  L 26 up        sign=0.6929  scale=0.0000  byte=0.0000
  L 26 k         sign=0.6718  scale=0.0000  byte=0.0000
  L 26 o         sign=0.7247  scale=0.0000  byte=0.0002
  L 26 q         sign=0.7093  scale=0.0004  byte=0.0072
  L 26 v         sign=0.7314  scale=0.0000  byte=0.0000
  L 27 down      sign=0.6815  scale=0.0000  byte=0.0000
  L 27 gate      sign=0.6877  scale=0.0000  byte=0.0002
  L 27 up        sign=0.6890  scale=0.0000  byte=0.0003
  L 27 k         sign=0.6436  scale=0.0008  byte=0.0171
  L 27 o         sign=0.6810  scale=0.0000  byte=0.0000
  L 27 q         sign=0.6821  scale=0.0033  byte=0.0767
  L 27 v         sign=0.7115  scale=0.0000  byte=0.0000
  L  3 down      sign=0.7458  scale=0.0000  byte=0.0000
  L  3 gate      sign=0.7305  scale=0.0000  byte=0.0003
  L  3 up        sign=0.6956  scale=0.0000  byte=0.0000
  L  3 k         sign=0.7134  scale=0.0000  byte=0.0000
  L  3 o         sign=0.7447  scale=0.0000  byte=0.0002
  L  3 q         sign=0.7119  scale=0.0000  byte=0.0015
  L  3 v         sign=0.7667  scale=0.0000  byte=0.0000
  L  4 down      sign=0.7511  scale=0.0000  byte=0.0000
  L  4 gate      sign=0.7297  scale=0.0001  byte=0.0021
  L  4 up        sign=0.7011  scale=0.0000  byte=0.0000
  L  4 k         sign=0.7061  scale=0.0000  byte=0.0002
  L  4 o         sign=0.7514  scale=0.0000  byte=0.0000
  L  4 q         sign=0.7035  scale=0.0001  byte=0.0025
  L  4 v         sign=0.7751  scale=0.0000  byte=0.0000
  L  5 down      sign=0.7483  scale=0.0000  byte=0.0000
  L  5 gate      sign=0.7126  scale=0.0000  byte=0.0005
  L  5 up        sign=0.7120  scale=0.0000  byte=0.0000
  L  5 k         sign=0.7102  scale=0.0000  byte=0.0006
  L  5 o         sign=0.7473  scale=0.0000  byte=0.0000
  L  5 q         sign=0.7053  scale=0.0001  byte=0.0015
  L  5 v         sign=0.7633  scale=0.0000  byte=0.0000
  L  6 down      sign=0.7456  scale=0.0000  byte=0.0000
  L  6 gate      sign=0.7135  scale=0.0000  byte=0.0002
  L  6 up        sign=0.7140  scale=0.0000  byte=0.0000
  L  6 k         sign=0.7147  scale=0.0000  byte=0.0000
  L  6 o         sign=0.7499  scale=0.0000  byte=0.0001
  L  6 q         sign=0.7138  scale=0.0001  byte=0.0015
  L  6 v         sign=0.7844  scale=0.0000  byte=0.0000
  L  7 down      sign=0.7441  scale=0.0000  byte=0.0000
  L  7 gate      sign=0.7156  scale=0.0000  byte=0.0010
  L  7 up        sign=0.7085  scale=0.0000  byte=0.0000
  L  7 k         sign=0.7009  scale=0.0000  byte=0.0011
  L  7 o         sign=0.7553  scale=0.0000  byte=0.0000
  L  7 q         sign=0.6975  scale=0.0002  byte=0.0025
  L  7 v         sign=0.7789  scale=0.0000  byte=0.0000
  L  8 down      sign=0.7407  scale=0.0000  byte=0.0000
  L  8 gate      sign=0.7103  scale=0.0000  byte=0.0004
  L  8 up        sign=0.7083  scale=0.0000  byte=0.0000
  L  8 k         sign=0.7179  scale=0.0000  byte=0.0000
  L  8 o         sign=0.7409  scale=0.0000  byte=0.0000
  L  8 q         sign=0.7112  scale=0.0001  byte=0.0024
  L  8 v         sign=0.7678  scale=0.0000  byte=0.0000
  L  9 down      sign=0.7428  scale=0.0000  byte=0.0000
  L  9 gate      sign=0.7082  scale=0.0000  byte=0.0010
  L  9 up        sign=0.7101  scale=0.0000  byte=0.0000
  L  9 k         sign=0.7027  scale=0.0000  byte=0.0001
  L  9 o         sign=0.7517  scale=0.0000  byte=0.0000
  L  9 q         sign=0.7018  scale=0.0002  byte=0.0034
  L  9 v         sign=0.7738  scale=0.0000  byte=0.0000

Walking model-00002-of-00002.safetensors...

=== per-projection-type summary across all 197 tensors ===
      type     n  sign_mean  sign_min  sign_max  scale_mean  byte_mean
     embed     1     0.9993    0.9993    0.9993      0.4120     0.9993
         q    28     0.7054    0.6821    0.7224      0.0003     0.0066
         k    28     0.7003    0.6436    0.7280      0.0000     0.0013
         v    28     0.7611    0.7115    0.7890      0.0000     0.0000
         o    28     0.7410    0.6810    0.7617      0.0000     0.0001
      gate    28     0.7038    0.6829    0.7323      0.0000     0.0007
        up    28     0.7005    0.6699    0.7140      0.0000     0.0000
