head_dim = 128
tensor                                                                  n_heads  mean   std    min    max   range
  model.layers.22.self_attn.v_proj.weight                                     8   0.2602 0.0317 0.2241 0.3069  0.0827
  model.layers.23.self_attn.k_proj.weight                                     8   0.3221 0.0175 0.2961 0.3454  0.0492
  model.layers.23.self_attn.o_proj.weight                                    16   0.2739 0.0206 0.2379 0.3143  0.0764
  model.layers.23.self_attn.q_proj.weight                                    16   0.3134 0.0171 0.2824 0.3593  0.0769
  model.layers.23.self_attn.v_proj.weight                                     8   0.2584 0.0209 0.2277 0.2902  0.0625
  model.layers.24.self_attn.k_proj.weight                                     8   0.3303 0.0104 0.3087 0.3415  0.0328
  model.layers.24.self_attn.o_proj.weight                                    16   0.2692 0.0315 0.2357 0.3427  0.1071
  model.layers.24.self_attn.q_proj.weight                                    16   0.3144 0.0143 0.3010 0.3613  0.0603
  model.layers.24.self_attn.v_proj.weight                                     8   0.2612 0.0147 0.2307 0.2835  0.0529
  model.layers.25.self_attn.k_proj.weight                                     8   0.3269 0.0155 0.2982 0.3436  0.0454
  model.layers.25.self_attn.o_proj.weight                                    16   0.2655 0.0358 0.2184 0.3326  0.1142
  model.layers.25.self_attn.q_proj.weight                                    16   0.3078 0.0139 0.2761 0.3306  0.0545
  model.layers.25.self_attn.v_proj.weight                                     8   0.2526 0.0205 0.2238 0.3012  0.0774
  model.layers.26.self_attn.k_proj.weight                                     8   0.3282 0.0101 0.3151 0.3425  0.0275
  model.layers.26.self_attn.o_proj.weight                                    16   0.2753 0.0404 0.2266 0.3400  0.1134
  model.layers.26.self_attn.q_proj.weight                                    16   0.2907 0.0156 0.2597 0.3138  0.0542
  model.layers.26.self_attn.v_proj.weight                                     8   0.2686 0.0301 0.2249 0.3114  0.0865
  model.layers.27.self_attn.k_proj.weight                                     8   0.3564 0.0294 0.3002 0.3994  0.0992
  model.layers.27.self_attn.o_proj.weight                                    16   0.3190 0.0361 0.2438 0.3836  0.1398
  model.layers.27.self_attn.q_proj.weight                                    16   0.3179 0.0344 0.2355 0.3884  0.1529
  model.layers.27.self_attn.v_proj.weight                                     8   0.2885 0.0338 0.2348 0.3252  0.0903
  model.layers.3.self_attn.k_proj.weight                                      8   0.2866 0.0197 0.2599 0.3178  0.0579
  model.layers.3.self_attn.o_proj.weight                                     16   0.2553 0.0167 0.2228 0.2911  0.0683
  model.layers.3.self_attn.q_proj.weight                                     16   0.2881 0.0158 0.2686 0.3302  0.0616
  model.layers.3.self_attn.v_proj.weight                                      8   0.2333 0.0145 0.2158 0.2626  0.0468
  model.layers.4.self_attn.k_proj.weight                                      8   0.2939 0.0242 0.2714 0.3428  0.0714
  model.layers.4.self_attn.o_proj.weight                                     16   0.2486 0.0223 0.2123 0.2928  0.0805
  model.layers.4.self_attn.q_proj.weight                                     16   0.2965 0.0212 0.2776 0.3482  0.0706
  model.layers.4.self_attn.v_proj.weight                                      8   0.2249 0.0216 0.1965 0.2698  0.0733
  model.layers.5.self_attn.k_proj.weight                                      8   0.2898 0.0241 0.2673 0.3432  0.0760
  model.layers.5.self_attn.o_proj.weight                                     16   0.2527 0.0282 0.2052 0.3162  0.1110
  model.layers.5.self_attn.q_proj.weight                                     16   0.2947 0.0168 0.2714 0.3225  0.0511
  model.layers.5.self_attn.v_proj.weight                                      8   0.2367 0.0325 0.1954 0.2945  0.0991
  model.layers.6.self_attn.k_proj.weight                                      8   0.2853 0.0222 0.2640 0.3394  0.0755
  model.layers.6.self_attn.o_proj.weight                                     16   0.2501 0.0275 0.2119 0.3111  0.0992
  model.layers.6.self_attn.q_proj.weight                                     16   0.2862 0.0194 0.2496 0.3317  0.0821
  model.layers.6.self_attn.v_proj.weight                                      8   0.2156 0.0133 0.1975 0.2440  0.0466
  model.layers.7.self_attn.k_proj.weight                                      8   0.2991 0.0178 0.2744 0.3299  0.0555
  model.layers.7.self_attn.o_proj.weight                                     16   0.2447 0.0182 0.2131 0.2764  0.0633
  model.layers.7.self_attn.q_proj.weight                                     16   0.3025 0.0124 0.2799 0.3284  0.0485
  model.layers.7.self_attn.v_proj.weight                                      8   0.2211 0.0149 0.1983 0.2519  0.0536
  model.layers.8.self_attn.k_proj.weight                                      8   0.2821 0.0162 0.2536 0.3059  0.0523
  model.layers.8.self_attn.o_proj.weight                                     16   0.2591 0.0098 0.2437 0.2803  0.0366
  model.layers.8.self_attn.q_proj.weight                                     16   0.2888 0.0170 0.2570 0.3167  0.0597
  model.layers.8.self_attn.v_proj.weight                                      8   0.2322 0.0061 0.2199 0.2400  0.0201
  model.layers.9.self_attn.k_proj.weight                                      8   0.2973 0.0252 0.2684 0.3496  0.0812
  model.layers.9.self_attn.o_proj.weight                                     16   0.2483 0.0263 0.2119 0.3131  0.1012
  model.layers.9.self_attn.q_proj.weight                                     16   0.2982 0.0197 0.2736 0.3335  0.0599
  model.layers.9.self_attn.v_proj.weight                                      8   0.2262 0.0170 0.2074 0.2589  0.0515

proj  tensors     mean  std-across-heads     within-tensor range
  k        28   0.2997        0.0190              0.0585
  o        28   0.2590        0.0243              0.0886
  q        28   0.2946        0.0194              0.0726
  v        28   0.2389        0.0197              0.0613

Per-head q_proj flip rate (averaged across all q_proj layers):
  range across heads: [0.2868, 0.3009]  std: 0.0039
  highest-flip heads: [0, 6, 2, 3, 7] (rates: [0.2972, 0.2986, 0.2989, 0.3007, 0.3009])
  lowest-flip heads:  [10, 11, 13, 9, 12] (rates: [0.2868, 0.2892, 0.2911, 0.2918, 0.2919])
