Compared 196 tensors against PTQ(base).
tensor                                                                  cos_mean   cos_std   cos_min   cos_max
  model.layers.18.self_attn.k_proj.weight                                 0.7904    0.0096    0.6918    0.8114
  model.layers.18.self_attn.o_proj.weight                                 0.7944    0.0062    0.7489    0.8177
  model.layers.18.self_attn.q_proj.weight                                 0.7873    0.0083    0.7191    0.8084
  model.layers.18.self_attn.v_proj.weight                                 0.7821    0.0087    0.7287    0.8082
  model.layers.19.mlp.down_proj.weight                                    0.7797    0.0283    0.5719    0.7993
  model.layers.19.mlp.gate_proj.weight                                    0.7852    0.0195    0.5305    0.8100
  model.layers.19.mlp.up_proj.weight                                      0.7852    0.0218    0.4579    0.8147
  model.layers.19.self_attn.k_proj.weight                                 0.7894    0.0109    0.6918    0.8121
  model.layers.19.self_attn.o_proj.weight                                 0.7935    0.0066    0.7266    0.8176
  model.layers.19.self_attn.q_proj.weight                                 0.7863    0.0094    0.6882    0.8121
  model.layers.19.self_attn.v_proj.weight                                 0.7704    0.0265    0.6595    0.8089
  model.layers.2.mlp.down_proj.weight                                     0.7874    0.0163    0.6690    0.8027
  model.layers.2.mlp.gate_proj.weight                                     0.7962    0.0105    0.5955    0.9520
  model.layers.2.mlp.up_proj.weight                                       0.7936    0.0098    0.5656    0.9676
  model.layers.2.self_attn.k_proj.weight                                  0.7923    0.0076    0.7562    0.8148
  model.layers.2.self_attn.o_proj.weight                                  0.7976    0.0066    0.7598    0.8413
  model.layers.2.self_attn.q_proj.weight                                  0.7893    0.0093    0.7235    0.8110
  model.layers.2.self_attn.v_proj.weight                                  0.7908    0.0054    0.7734    0.8107
  model.layers.20.mlp.down_proj.weight                                    0.7842    0.0217    0.5548    0.8024
  model.layers.20.mlp.gate_proj.weight                                    0.7885    0.0162    0.5604    0.8129
  model.layers.20.mlp.up_proj.weight                                      0.7889    0.0162    0.4478    0.8099
  model.layers.20.self_attn.k_proj.weight                                 0.7849    0.0113    0.7293    0.8091
  model.layers.20.self_attn.o_proj.weight                                 0.7932    0.0075    0.6593    0.8125
  model.layers.20.self_attn.q_proj.weight                                 0.7792    0.0113    0.6913    0.8101
  model.layers.20.self_attn.v_proj.weight                                 0.7695    0.0162    0.7128    0.8058
  model.layers.21.mlp.down_proj.weight                                    0.7886    0.0149    0.6015    0.8021
  model.layers.21.mlp.gate_proj.weight                                    0.7924    0.0133    0.5264    0.8162
  model.layers.21.mlp.up_proj.weight                                      0.7916    0.0129    0.5708    0.8172
  model.layers.21.self_attn.k_proj.weight                                 0.7879    0.0099    0.7102    0.8087
  model.layers.21.self_attn.o_proj.weight                                 0.7937    0.0063    0.7451    0.8326
  model.layers.21.self_attn.q_proj.weight                                 0.7839    0.0086    0.7279    0.8120
  model.layers.21.self_attn.v_proj.weight                                 0.7708    0.0195    0.7037    0.8026
  model.layers.22.mlp.down_proj.weight                                    0.7922    0.0108    0.6504    0.8041
  model.layers.22.mlp.gate_proj.weight                                    0.7946    0.0130    0.5449    0.8149
  model.layers.22.mlp.up_proj.weight                                      0.7938    0.0090    0.5877    0.8129
  model.layers.22.self_attn.k_proj.weight                                 0.7871    0.0149    0.6742    0.8127
  model.layers.22.self_attn.o_proj.weight                                 0.7963    0.0074    0.6836    0.8591
  model.layers.22.self_attn.q_proj.weight                                 0.7832    0.0099    0.6634    0.8102
  model.layers.22.self_attn.v_proj.weight                                 0.7747    0.0103    0.7266    0.8061
  model.layers.23.mlp.down_proj.weight                                    0.7936    0.0089    0.6795    0.8054
  model.layers.23.mlp.gate_proj.weight                                    0.7965    0.0100    0.6017    0.8195
  model.layers.23.mlp.up_proj.weight                                      0.7952    0.0072    0.6633    0.8137
  model.layers.23.self_attn.k_proj.weight                                 0.7837    0.0183    0.6719    0.8090
  model.layers.23.self_attn.o_proj.weight                                 0.7962    0.0071    0.7131    0.8750
  model.layers.23.self_attn.q_proj.weight                                 0.7831    0.0137    0.6771    0.8107
  model.layers.23.self_attn.v_proj.weight                                 0.7724    0.0118    0.7061    0.8047
  model.layers.24.mlp.down_proj.weight                                    0.7942    0.0083    0.6674    0.8049
  model.layers.24.mlp.gate_proj.weight                                    0.7965    0.0110    0.4572    0.8144
  model.layers.24.mlp.up_proj.weight                                      0.7956    0.0078    0.5334    0.8128
  model.layers.24.self_attn.k_proj.weight                                 0.7823    0.0193    0.6849    0.8112
  model.layers.24.self_attn.o_proj.weight                                 0.7958    0.0056    0.7179    0.8339
  model.layers.24.self_attn.q_proj.weight                                 0.7791    0.0171    0.6609    0.8104
  model.layers.24.self_attn.v_proj.weight                                 0.7735    0.0086    0.7363    0.8048
  model.layers.25.mlp.down_proj.weight                                    0.7941    0.0084    0.6538    0.8042
  model.layers.25.mlp.gate_proj.weight                                    0.7965    0.0092    0.6113    0.8188
  model.layers.25.mlp.up_proj.weight                                      0.7953    0.0090    0.5397    0.8129
  model.layers.25.self_attn.k_proj.weight                                 0.7830    0.0170    0.7130    0.8105
  model.layers.25.self_attn.o_proj.weight                                 0.7961    0.0055    0.7426    0.8314
  model.layers.25.self_attn.q_proj.weight                                 0.7789    0.0161    0.6651    0.8086
  model.layers.25.self_attn.v_proj.weight                                 0.7752    0.0104    0.7420    0.8075
  model.layers.26.mlp.down_proj.weight                                    0.7931    0.0090    0.6457    0.8037
  model.layers.26.mlp.gate_proj.weight                                    0.7959    0.0090    0.6385    0.8289
  model.layers.26.mlp.up_proj.weight                                      0.7950    0.0092    0.3966    0.8188
  model.layers.26.self_attn.k_proj.weight                                 0.7853    0.0172    0.7074    0.8124
  model.layers.26.self_attn.o_proj.weight                                 0.7959    0.0070    0.7679    0.9053
  model.layers.26.self_attn.q_proj.weight                                 0.7781    0.0164    0.6720    0.8140
  model.layers.26.self_attn.v_proj.weight                                 0.7834    0.0067    0.7547    0.8046
  model.layers.27.mlp.down_proj.weight                                    0.7844    0.0126    0.5633    0.7989
  model.layers.27.mlp.gate_proj.weight                                    0.7966    0.0080    0.7046    0.8452
  model.layers.27.mlp.up_proj.weight                                      0.7955    0.0071    0.7140    0.8284
  model.layers.27.self_attn.k_proj.weight                                 0.7949    0.0151    0.5164    0.8173
  model.layers.27.self_attn.o_proj.weight                                 0.7969    0.0057    0.7328    0.8165
  model.layers.27.self_attn.q_proj.weight                                 0.7951    0.0073    0.7383    0.8236
  model.layers.27.self_attn.v_proj.weight                                 0.7887    0.0064    0.7565    0.8080
  model.layers.3.mlp.down_proj.weight                                     0.7899    0.0082    0.7163    0.8025
  model.layers.3.mlp.gate_proj.weight                                     0.7967    0.0094    0.5355    0.8154
  model.layers.3.mlp.up_proj.weight                                       0.7943    0.0086    0.6069    0.8117
  model.layers.3.self_attn.k_proj.weight                                  0.7903    0.0139    0.6666    0.8111
  model.layers.3.self_attn.o_proj.weight                                  0.7969    0.0056    0.7607    0.8245
  model.layers.3.self_attn.q_proj.weight                                  0.7903    0.0133    0.6343    0.8140
  model.layers.3.self_attn.v_proj.weight                                  0.7890    0.0078    0.7270    0.8081
  model.layers.4.mlp.down_proj.weight                                     0.7891    0.0123    0.6052    0.8010
  model.layers.4.mlp.gate_proj.weight                                     0.7962    0.0144    0.4828    0.8153
  model.layers.4.mlp.up_proj.weight                                       0.7939    0.0088    0.5890    0.8128
  model.layers.4.self_attn.k_proj.weight                                  0.7914    0.0182    0.6649    0.8104
  model.layers.4.self_attn.o_proj.weight                                  0.7959    0.0078    0.7217    0.8122
  model.layers.4.self_attn.q_proj.weight                                  0.7920    0.0155    0.6231    0.8162
  model.layers.4.self_attn.v_proj.weight                                  0.7892    0.0079    0.6957    0.8063
  model.layers.5.mlp.down_proj.weight                                     0.7902    0.0155    0.6785    0.8050
  model.layers.5.mlp.gate_proj.weight                                     0.7948    0.0181    0.4376    0.8339
  model.layers.5.mlp.up_proj.weight                                       0.7932    0.0156    0.4296    0.8154
  model.layers.5.self_attn.k_proj.weight                                  0.7930    0.0088    0.6928    0.8105
  model.layers.5.self_attn.o_proj.weight                                  0.7990    0.0112    0.7447    0.8750
  model.layers.5.self_attn.q_proj.weight                                  0.7900    0.0099    0.6881    0.8243
  model.layers.5.self_attn.v_proj.weight                                  0.7794    0.0246    0.6753    0.8036
  model.layers.6.mlp.down_proj.weight                                     0.7870    0.0194    0.6632    0.8026
  model.layers.6.mlp.gate_proj.weight                                     0.7945    0.0156    0.5198    0.8258
  model.layers.6.mlp.up_proj.weight                                       0.7930    0.0092    0.6113    0.8117
  model.layers.6.self_attn.k_proj.weight                                  0.7925    0.0127    0.6848    0.8113
  model.layers.6.self_attn.o_proj.weight                                  0.7967    0.0055    0.7739    0.8142
