Compared 252 tensors against PTQ(base).
tensor                                                                  cos_mean   cos_std   cos_min   cos_max
  model.layers.0.mlp.down_proj.weight                                     0.7939    0.0100    0.6565    0.8033
  model.layers.0.mlp.gate_proj.weight                                     0.7951    0.0068    0.6671    0.8106
  model.layers.0.mlp.up_proj.weight                                       0.7957    0.0064    0.6725    0.8181
  model.layers.0.self_attn.k_proj.weight                                  0.7968    0.0076    0.7350    0.8100
  model.layers.0.self_attn.o_proj.weight                                  0.7955    0.0055    0.7397    0.8101
  model.layers.0.self_attn.q_proj.weight                                  0.7984    0.0044    0.7511    0.8281
  model.layers.0.self_attn.v_proj.weight                                  0.7939    0.0068    0.7305    0.8384
  model.layers.1.mlp.down_proj.weight                                     0.5876    0.0344    0.5349    0.8124
  model.layers.1.mlp.gate_proj.weight                                     0.5429    0.2481    0.1227    0.8127
  model.layers.1.mlp.up_proj.weight                                       0.7568    0.0356    0.6607    0.8084
  model.layers.1.self_attn.k_proj.weight                                  0.7921    0.0078    0.7139    0.8062
  model.layers.1.self_attn.o_proj.weight                                  0.7973    0.0051    0.7098    0.8094
  model.layers.1.self_attn.q_proj.weight                                  0.7898    0.0099    0.6772    0.8066
  model.layers.1.self_attn.v_proj.weight                                  0.7908    0.0046    0.7561    0.8046
  model.layers.10.mlp.down_proj.weight                                    0.7912    0.0156    0.5254    0.8036
  model.layers.10.mlp.gate_proj.weight                                    0.7950    0.0153    0.4758    0.8113
  model.layers.10.mlp.up_proj.weight                                      0.7934    0.0107    0.5248    0.8110
  model.layers.10.self_attn.k_proj.weight                                 0.7895    0.0136    0.6606    0.8066
  model.layers.10.self_attn.o_proj.weight                                 0.7974    0.0045    0.7586    0.8280
  model.layers.10.self_attn.q_proj.weight                                 0.7921    0.0101    0.7084    0.8083
  model.layers.10.self_attn.v_proj.weight                                 0.7868    0.0097    0.7427    0.8067
  model.layers.11.mlp.down_proj.weight                                    0.7924    0.0123    0.5415    0.8032
  model.layers.11.mlp.gate_proj.weight                                    0.7951    0.0141    0.5101    0.8100
  model.layers.11.mlp.up_proj.weight                                      0.7936    0.0104    0.5416    0.8100
  model.layers.11.self_attn.k_proj.weight                                 0.7865    0.0293    0.5824    0.8078
  model.layers.11.self_attn.o_proj.weight                                 0.7979    0.0041    0.7296    0.8117
  model.layers.11.self_attn.q_proj.weight                                 0.7895    0.0194    0.6079    0.8084
  model.layers.11.self_attn.v_proj.weight                                 0.7875    0.0070    0.7644    0.8036
  model.layers.12.mlp.down_proj.weight                                    0.7916    0.0128    0.5432    0.8039
  model.layers.12.mlp.gate_proj.weight                                    0.7935    0.0159    0.5160    0.8099
  model.layers.12.mlp.up_proj.weight                                      0.7918    0.0137    0.5130    0.8084
  model.layers.12.self_attn.k_proj.weight                                 0.7898    0.0213    0.6104    0.8059
  model.layers.12.self_attn.o_proj.weight                                 0.7973    0.0057    0.7279    0.8156
  model.layers.12.self_attn.q_proj.weight                                 0.7916    0.0111    0.6556    0.8073
  model.layers.12.self_attn.v_proj.weight                                 0.7863    0.0086    0.7067    0.8036
  model.layers.13.mlp.down_proj.weight                                    0.7883    0.0153    0.6380    0.8008
  model.layers.13.mlp.gate_proj.weight                                    0.7927    0.0179    0.3562    0.8105
  model.layers.13.mlp.up_proj.weight                                      0.7912    0.0145    0.3687    0.8089
  model.layers.13.self_attn.k_proj.weight                                 0.7887    0.0212    0.5728    0.8072
  model.layers.13.self_attn.o_proj.weight                                 0.7973    0.0045    0.7477    0.8109
  model.layers.13.self_attn.q_proj.weight                                 0.7900    0.0145    0.6296    0.8097
  model.layers.13.self_attn.v_proj.weight                                 0.7905    0.0069    0.7303    0.8056
  model.layers.14.mlp.down_proj.weight                                    0.7893    0.0121    0.5644    0.8020
  model.layers.14.mlp.gate_proj.weight                                    0.7934    0.0147    0.5307    0.8116
  model.layers.14.mlp.up_proj.weight                                      0.7914    0.0125    0.4801    0.8105
  model.layers.14.self_attn.k_proj.weight                                 0.7905    0.0131    0.6737    0.8061
  model.layers.14.self_attn.o_proj.weight                                 0.7972    0.0044    0.7547    0.8092
  model.layers.14.self_attn.q_proj.weight                                 0.7927    0.0090    0.7073    0.8090
  model.layers.14.self_attn.v_proj.weight                                 0.7872    0.0084    0.7636    0.8028
  model.layers.15.mlp.down_proj.weight                                    0.7880    0.0134    0.6253    0.8015
  model.layers.15.mlp.gate_proj.weight                                    0.7924    0.0157    0.4241    0.8110
  model.layers.15.mlp.up_proj.weight                                      0.7909    0.0128    0.4705    0.8099
  model.layers.15.self_attn.k_proj.weight                                 0.7897    0.0148    0.6657    0.8109
  model.layers.15.self_attn.o_proj.weight                                 0.7968    0.0042    0.7517    0.8084
  model.layers.15.self_attn.q_proj.weight                                 0.7921    0.0086    0.7046    0.8131
  model.layers.15.self_attn.v_proj.weight                                 0.7872    0.0093    0.7486    0.8038
  model.layers.16.mlp.down_proj.weight                                    0.7890    0.0119    0.5958    0.8011
  model.layers.16.mlp.gate_proj.weight                                    0.7928    0.0157    0.4044    0.8102
  model.layers.16.mlp.up_proj.weight                                      0.7916    0.0116    0.4811    0.8094
  model.layers.16.self_attn.k_proj.weight                                 0.7909    0.0097    0.6992    0.8069
  model.layers.16.self_attn.o_proj.weight                                 0.7972    0.0042    0.7510    0.8106
  model.layers.16.self_attn.q_proj.weight                                 0.7929    0.0075    0.7047    0.8073
  model.layers.16.self_attn.v_proj.weight                                 0.7875    0.0069    0.7433    0.8050
  model.layers.17.mlp.down_proj.weight                                    0.7890    0.0134    0.4901    0.8015
  model.layers.17.mlp.gate_proj.weight                                    0.7921    0.0178    0.4445    0.8087
  model.layers.17.mlp.up_proj.weight                                      0.7916    0.0128    0.5777    0.8077
  model.layers.17.self_attn.k_proj.weight                                 0.7899    0.0128    0.6982    0.8081
  model.layers.17.self_attn.o_proj.weight                                 0.7968    0.0049    0.7401    0.8114
  model.layers.17.self_attn.q_proj.weight                                 0.7928    0.0076    0.6916    0.8099
  model.layers.17.self_attn.v_proj.weight                                 0.7871    0.0068    0.7648    0.8045
  model.layers.18.mlp.down_proj.weight                                    0.7875    0.0164    0.5233    0.8018
  model.layers.18.mlp.gate_proj.weight                                    0.7897    0.0246    0.4302    0.8098
  model.layers.18.mlp.up_proj.weight                                      0.7897    0.0180    0.4879    0.8080
  model.layers.18.self_attn.k_proj.weight                                 0.7894    0.0111    0.7120    0.8072
  model.layers.18.self_attn.o_proj.weight                                 0.7971    0.0045    0.7555    0.8110
  model.layers.18.self_attn.q_proj.weight                                 0.7931    0.0066    0.7085    0.8079
  model.layers.18.self_attn.v_proj.weight                                 0.7889    0.0075    0.7664    0.8062
  model.layers.19.mlp.down_proj.weight                                    0.7849    0.0246    0.4463    0.8014
  model.layers.19.mlp.gate_proj.weight                                    0.7884    0.0242    0.4185    0.8093
  model.layers.19.mlp.up_proj.weight                                      0.7881    0.0223    0.3795    0.8089
  model.layers.19.self_attn.k_proj.weight                                 0.7843    0.0464    0.4028    0.8062
  model.layers.19.self_attn.o_proj.weight                                 0.7955    0.0064    0.7033    0.8101
  model.layers.19.self_attn.q_proj.weight                                 0.7881    0.0261    0.4670    0.8074
  model.layers.19.self_attn.v_proj.weight                                 0.7834    0.0083    0.7187    0.8031
  model.layers.2.mlp.down_proj.weight                                     0.5679    0.0322    0.4893    0.7800
  model.layers.2.mlp.gate_proj.weight                                     0.4976    0.2659    0.1220    0.8177
  model.layers.2.mlp.up_proj.weight                                       0.6952    0.1191    0.2116    0.8219
  model.layers.2.self_attn.k_proj.weight                                  0.7933    0.0130    0.6743    0.8076
  model.layers.2.self_attn.o_proj.weight                                  0.7983    0.0044    0.7393    0.8100
  model.layers.2.self_attn.q_proj.weight                                  0.7944    0.0085    0.6862    0.8103
  model.layers.2.self_attn.v_proj.weight                                  0.7931    0.0048    0.7680    0.8064
  model.layers.20.mlp.down_proj.weight                                    0.7884    0.0150    0.6379    0.8017
  model.layers.20.mlp.gate_proj.weight                                    0.7906    0.0184    0.4765    0.8113
  model.layers.20.mlp.up_proj.weight                                      0.7909    0.0127    0.5574    0.8072
  model.layers.20.self_attn.k_proj.weight                                 0.7909    0.0088    0.7321    0.8077
  model.layers.20.self_attn.o_proj.weight                                 0.7968    0.0044    0.7444    0.8094
  model.layers.20.self_attn.q_proj.weight                                 0.7911    0.0089    0.6978    0.8096
  model.layers.20.self_attn.v_proj.weight                                 0.7832    0.0108    0.7378    0.8031
  model.layers.21.mlp.down_proj.weight                                    0.7885    0.0146    0.5358    0.8010
  model.layers.21.mlp.gate_proj.weight                                    0.7891    0.0203    0.4548    0.8100
  model.layers.21.mlp.up_proj.weight                                      0.7908    0.0115    0.5922    0.8083
  model.layers.21.self_attn.k_proj.weight                                 0.7891    0.0094    0.7367    0.8077
  model.layers.21.self_attn.o_proj.weight                                 0.7959    0.0047    0.7520    0.8112
  model.layers.21.self_attn.q_proj.weight                                 0.7906    0.0080    0.7167    0.8076
  model.layers.21.self_attn.v_proj.weight                                 0.7814    0.0215    0.6769    0.8038
  model.layers.22.mlp.down_proj.weight                                    0.7865    0.0195    0.4861    0.7994
  model.layers.22.mlp.gate_proj.weight                                    0.7891    0.0201    0.4326    0.8100
  model.layers.22.mlp.up_proj.weight                                      0.7910    0.0131    0.3877    0.8101
  model.layers.22.self_attn.k_proj.weight                                 0.7921    0.0140    0.6135    0.8090
  model.layers.22.self_attn.o_proj.weight                                 0.7963    0.0049    0.7516    0.8203
  model.layers.22.self_attn.q_proj.weight                                 0.7912    0.0182    0.4911    0.8095
  model.layers.22.self_attn.v_proj.weight                                 0.7793    0.0180    0.6806    0.8033
  model.layers.23.mlp.down_proj.weight                                    0.7888    0.0181    0.5653    0.8006
  model.layers.23.mlp.gate_proj.weight                                    0.7917    0.0147    0.5036    0.8125
  model.layers.23.mlp.up_proj.weight                                      0.7930    0.0111    0.4754    0.8093
  model.layers.23.self_attn.k_proj.weight                                 0.7914    0.0100    0.7207    0.8071
  model.layers.23.self_attn.o_proj.weight                                 0.7963    0.0049    0.7129    0.8208
  model.layers.23.self_attn.q_proj.weight                                 0.7895    0.0086    0.6896    0.8082
