Compared 252 tensors against PTQ(base).
tensor                                                                  cos_mean   cos_std   cos_min   cos_max
  model.layers.23.self_attn.v_proj.weight                                 0.7683    0.0270    0.6550    0.8022
  model.layers.24.mlp.down_proj.weight                                    0.7917    0.0137    0.6059    0.8019
  model.layers.24.mlp.gate_proj.weight                                    0.7938    0.0115    0.5045    0.8098
  model.layers.24.mlp.up_proj.weight                                      0.7946    0.0091    0.5838    0.8096
  model.layers.24.self_attn.k_proj.weight                                 0.7917    0.0076    0.7320    0.8059
  model.layers.24.self_attn.o_proj.weight                                 0.7967    0.0055    0.7292    0.8427
  model.layers.24.self_attn.q_proj.weight                                 0.7872    0.0085    0.6939    0.8066
  model.layers.24.self_attn.v_proj.weight                                 0.7654    0.0244    0.6876    0.8049
  model.layers.25.mlp.down_proj.weight                                    0.7924    0.0142    0.5754    0.8033
  model.layers.25.mlp.gate_proj.weight                                    0.7944    0.0130    0.4095    0.8116
  model.layers.25.mlp.up_proj.weight                                      0.7951    0.0106    0.4921    0.8111
  model.layers.25.self_attn.k_proj.weight                                 0.7933    0.0074    0.7274    0.8072
  model.layers.25.self_attn.o_proj.weight                                 0.7984    0.0038    0.7536    0.8201
  model.layers.25.self_attn.q_proj.weight                                 0.7924    0.0079    0.6665    0.8086
  model.layers.25.self_attn.v_proj.weight                                 0.7842    0.0116    0.7239    0.8045
  model.layers.26.mlp.down_proj.weight                                    0.7944    0.0093    0.6421    0.8049
  model.layers.26.mlp.gate_proj.weight                                    0.7956    0.0106    0.5508    0.8104
  model.layers.26.mlp.up_proj.weight                                      0.7959    0.0103    0.3546    0.8101
  model.layers.26.self_attn.k_proj.weight                                 0.7943    0.0067    0.7468    0.8089
  model.layers.26.self_attn.o_proj.weight                                 0.7979    0.0043    0.7461    0.8374
  model.layers.26.self_attn.q_proj.weight                                 0.7917    0.0077    0.6869    0.8074
  model.layers.26.self_attn.v_proj.weight                                 0.7850    0.0071    0.7472    0.8034
  model.layers.27.mlp.down_proj.weight                                    0.7932    0.0133    0.6562    0.8035
  model.layers.27.mlp.gate_proj.weight                                    0.7955    0.0150    0.4740    0.8106
  model.layers.27.mlp.up_proj.weight                                      0.7958    0.0119    0.5037    0.8119
  model.layers.27.self_attn.k_proj.weight                                 0.7934    0.0074    0.7516    0.8076
  model.layers.27.self_attn.o_proj.weight                                 0.7975    0.0044    0.7300    0.8152
  model.layers.27.self_attn.q_proj.weight                                 0.7926    0.0059    0.6975    0.8072
  model.layers.27.self_attn.v_proj.weight                                 0.7845    0.0080    0.7450    0.8047
  model.layers.28.mlp.down_proj.weight                                    0.7925    0.0157    0.6215    0.8040
  model.layers.28.mlp.gate_proj.weight                                    0.7951    0.0182    0.4626    0.8105
  model.layers.28.mlp.up_proj.weight                                      0.7959    0.0132    0.3499    0.8096
  model.layers.28.self_attn.k_proj.weight                                 0.7875    0.0226    0.6378    0.8071
  model.layers.28.self_attn.o_proj.weight                                 0.7980    0.0049    0.7517    0.8768
  model.layers.28.self_attn.q_proj.weight                                 0.7924    0.0083    0.6384    0.8119
  model.layers.28.self_attn.v_proj.weight                                 0.7876    0.0066    0.7638    0.8047
  model.layers.29.mlp.down_proj.weight                                    0.7964    0.0054    0.6581    0.8039
  model.layers.29.mlp.gate_proj.weight                                    0.7971    0.0094    0.5108    0.8124
  model.layers.29.mlp.up_proj.weight                                      0.7973    0.0060    0.5928    0.8104
  model.layers.29.self_attn.k_proj.weight                                 0.7893    0.0134    0.6964    0.8097
  model.layers.29.self_attn.o_proj.weight                                 0.7975    0.0048    0.6811    0.8335
  model.layers.29.self_attn.q_proj.weight                                 0.7904    0.0088    0.6624    0.8065
  model.layers.29.self_attn.v_proj.weight                                 0.7758    0.0141    0.7286    0.8020
  model.layers.3.mlp.down_proj.weight                                     0.6335    0.0136    0.5094    0.7259
  model.layers.3.mlp.gate_proj.weight                                     0.5479    0.3031    0.1249    0.8114
  model.layers.3.mlp.up_proj.weight                                       0.7666    0.0343    0.6751    0.8241
  model.layers.3.self_attn.k_proj.weight                                  0.7929    0.0100    0.6792    0.8074
  model.layers.3.self_attn.o_proj.weight                                  0.7982    0.0043    0.7503    0.8134
  model.layers.3.self_attn.q_proj.weight                                  0.7925    0.0087    0.7316    0.8088
  model.layers.3.self_attn.v_proj.weight                                  0.7919    0.0053    0.7636    0.8054
  model.layers.30.mlp.down_proj.weight                                    0.7966    0.0061    0.6519    0.8039
  model.layers.30.mlp.gate_proj.weight                                    0.7972    0.0106    0.4590    0.8117
  model.layers.30.mlp.up_proj.weight                                      0.7974    0.0066    0.5510    0.8122
  model.layers.30.self_attn.k_proj.weight                                 0.7867    0.0230    0.6597    0.8055
  model.layers.30.self_attn.o_proj.weight                                 0.7980    0.0044    0.7314    0.8549
  model.layers.30.self_attn.q_proj.weight                                 0.7908    0.0136    0.6125    0.8075
  model.layers.30.self_attn.v_proj.weight                                 0.7768    0.0190    0.7180    0.8047
  model.layers.31.mlp.down_proj.weight                                    0.7972    0.0052    0.6959    0.8051
  model.layers.31.mlp.gate_proj.weight                                    0.7973    0.0097    0.4966    0.8118
  model.layers.31.mlp.up_proj.weight                                      0.7974    0.0070    0.6173    0.8104
  model.layers.31.self_attn.k_proj.weight                                 0.7846    0.0252    0.6457    0.8110
  model.layers.31.self_attn.o_proj.weight                                 0.7977    0.0043    0.7483    0.8139
  model.layers.31.self_attn.q_proj.weight                                 0.7905    0.0125    0.6092    0.8094
  model.layers.31.self_attn.v_proj.weight                                 0.7789    0.0103    0.7329    0.8024
  model.layers.32.mlp.down_proj.weight                                    0.7970    0.0059    0.6403    0.8039
  model.layers.32.mlp.gate_proj.weight                                    0.7969    0.0099    0.5759    0.8101
  model.layers.32.mlp.up_proj.weight                                      0.7972    0.0070    0.5170    0.8097
  model.layers.32.self_attn.k_proj.weight                                 0.7829    0.0266    0.6593    0.8076
  model.layers.32.self_attn.o_proj.weight                                 0.7976    0.0041    0.7492    0.8341
  model.layers.32.self_attn.q_proj.weight                                 0.7880    0.0170    0.5890    0.8404
  model.layers.32.self_attn.v_proj.weight                                 0.7759    0.0169    0.7217    0.8029
  model.layers.33.mlp.down_proj.weight                                    0.7962    0.0081    0.5316    0.8036
  model.layers.33.mlp.gate_proj.weight                                    0.7963    0.0100    0.5726    0.8100
  model.layers.33.mlp.up_proj.weight                                      0.7969    0.0086    0.3681    0.8117
  model.layers.33.self_attn.k_proj.weight                                 0.7846    0.0191    0.7064    0.8073
  model.layers.33.self_attn.o_proj.weight                                 0.7976    0.0040    0.7333    0.8097
  model.layers.33.self_attn.q_proj.weight                                 0.7872    0.0150    0.6230    0.8082
  model.layers.33.self_attn.v_proj.weight                                 0.7760    0.0088    0.7525    0.8040
  model.layers.34.mlp.down_proj.weight                                    0.7927    0.0093    0.5786    0.8212
  model.layers.34.mlp.gate_proj.weight                                    0.7960    0.0096    0.5728    0.8165
  model.layers.34.mlp.up_proj.weight                                      0.7966    0.0075    0.4007    0.8115
  model.layers.34.self_attn.k_proj.weight                                 0.7849    0.0229    0.6624    0.8137
  model.layers.34.self_attn.o_proj.weight                                 0.7967    0.0045    0.7515    0.8984
  model.layers.34.self_attn.q_proj.weight                                 0.7894    0.0157    0.6051    0.8686
  model.layers.34.self_attn.v_proj.weight                                 0.7722    0.0187    0.7123    0.8027
  model.layers.35.mlp.down_proj.weight                                    0.7791    0.0120    0.5157    0.7909
  model.layers.35.mlp.gate_proj.weight                                    0.7965    0.0077    0.6093    0.8423
  model.layers.35.mlp.up_proj.weight                                      0.7955    0.0067    0.6597    0.8215
  model.layers.35.self_attn.k_proj.weight                                 0.7940    0.0098    0.6834    0.8079
  model.layers.35.self_attn.o_proj.weight                                 0.7967    0.0058    0.7051    0.9389
  model.layers.35.self_attn.q_proj.weight                                 0.7959    0.0058    0.7155    0.8190
  model.layers.35.self_attn.v_proj.weight                                 0.7864    0.0066    0.7623    0.8026
  model.layers.4.mlp.down_proj.weight                                     0.7669    0.0207    0.5626    0.8120
  model.layers.4.mlp.gate_proj.weight                                     0.7600    0.1073    0.1849    0.8253
  model.layers.4.mlp.up_proj.weight                                       0.7893    0.0166    0.6792    0.8227
  model.layers.4.self_attn.k_proj.weight                                  0.7928    0.0127    0.6353    0.8074
  model.layers.4.self_attn.o_proj.weight                                  0.7988    0.0044    0.7249    0.8435
  model.layers.4.self_attn.q_proj.weight                                  0.7935    0.0085    0.7226    0.8085
  model.layers.4.self_attn.v_proj.weight                                  0.7926    0.0041    0.7729    0.8040
  model.layers.5.mlp.down_proj.weight                                     0.7908    0.0190    0.4120    0.8030
  model.layers.5.mlp.gate_proj.weight                                     0.7927    0.0108    0.2976    0.8085
  model.layers.5.mlp.up_proj.weight                                       0.7941    0.0082    0.5982    0.8080
  model.layers.5.self_attn.k_proj.weight                                  0.7909    0.0130    0.6371    0.8092
  model.layers.5.self_attn.o_proj.weight                                  0.7980    0.0044    0.7484    0.8162
  model.layers.5.self_attn.q_proj.weight                                  0.7936    0.0084    0.7302    0.8737
  model.layers.5.self_attn.v_proj.weight                                  0.7926    0.0072    0.7067    0.8085
  model.layers.6.mlp.down_proj.weight                                     0.7931    0.0140    0.5448    0.8034
  model.layers.6.mlp.gate_proj.weight                                     0.7960    0.0102    0.6247    0.8116
  model.layers.6.mlp.up_proj.weight                                       0.7954    0.0086    0.6025    0.8107
  model.layers.6.self_attn.k_proj.weight                                  0.7944    0.0092    0.6413    0.8090
  model.layers.6.self_attn.o_proj.weight                                  0.7967    0.0082    0.6556    0.8846
  model.layers.6.self_attn.q_proj.weight                                  0.7940    0.0106    0.4655    0.8082
  model.layers.6.self_attn.v_proj.weight                                  0.7851    0.0175    0.7150    0.8031
  model.layers.7.mlp.down_proj.weight                                     0.7950    0.0113    0.6255    0.8047
  model.layers.7.mlp.gate_proj.weight                                     0.7964    0.0096    0.5779    0.8107
  model.layers.7.mlp.up_proj.weight                                       0.7955    0.0084    0.5747    0.8090
  model.layers.7.self_attn.k_proj.weight                                  0.7925    0.0143    0.6399    0.8069
  model.layers.7.self_attn.o_proj.weight                                  0.7979    0.0046    0.7472    0.8143
  model.layers.7.self_attn.q_proj.weight                                  0.7934    0.0091    0.7285    0.8089
  model.layers.7.self_attn.v_proj.weight                                  0.7922    0.0047    0.7630    0.8054
  model.layers.8.mlp.down_proj.weight                                     0.7934    0.0124    0.6636    0.8052
  model.layers.8.mlp.gate_proj.weight                                     0.7965    0.0109    0.5356    0.8101
  model.layers.8.mlp.up_proj.weight                                       0.7949    0.0086    0.5486    0.8110
  model.layers.8.self_attn.k_proj.weight                                  0.7928    0.0112    0.6755    0.8081
  model.layers.8.self_attn.o_proj.weight                                  0.7981    0.0040    0.7518    0.8101
  model.layers.8.self_attn.q_proj.weight                                  0.7939    0.0080    0.7237    0.8098
  model.layers.8.self_attn.v_proj.weight                                  0.7926    0.0045    0.7791    0.8054
  model.layers.9.mlp.down_proj.weight                                     0.7912    0.0150    0.6372    0.8059
  model.layers.9.mlp.gate_proj.weight                                     0.7953    0.0132    0.3715    0.8098
  model.layers.9.mlp.up_proj.weight                                       0.7933    0.0102    0.4988    0.8133
  model.layers.9.self_attn.k_proj.weight                                  0.7883    0.0254    0.5983    0.8075
  model.layers.9.self_attn.o_proj.weight                                  0.7977    0.0045    0.7628    0.8116
  model.layers.9.self_attn.q_proj.weight                                  0.7903    0.0135    0.6857    0.8086
  model.layers.9.self_attn.v_proj.weight                                  0.7878    0.0081    0.7625    0.8052

 depth     mean      min      max
     0    0.7956   0.7939   0.7984
     1    0.7225   0.5429   0.7973
     2    0.7057   0.4976   0.7983
     3    0.7319   0.5479   0.7982
     4    0.7848   0.7600   0.7988
     5    0.7933   0.7908   0.7980
     6    0.7935   0.7851   0.7967
     7    0.7947   0.7922   0.7979
     8    0.7946   0.7926   0.7981
     9    0.7920   0.7878   0.7977
    10    0.7922   0.7868   0.7974
    11    0.7918   0.7865   0.7979
    12    0.7917   0.7863   0.7973
    13    0.7913   0.7883   0.7973
    14    0.7917   0.7872   0.7972
    15    0.7910   0.7872   0.7968
    16    0.7917   0.7875   0.7972
    17    0.7913   0.7871   0.7968
    18    0.7908   0.7875   0.7971
    19    0.7875   0.7834   0.7955
    20    0.7903   0.7832   0.7968
    21    0.7893   0.7814   0.7959
    22    0.7894   0.7793   0.7963
    23    0.7884   0.7683   0.7963
    24    0.7887   0.7654   0.7967
    25    0.7929   0.7842   0.7984
    26    0.7936   0.7850   0.7979
    27    0.7932   0.7845   0.7975
    28    0.7927   0.7875   0.7980
    29    0.7920   0.7758   0.7975
    30    0.7919   0.7768   0.7980
    31    0.7919   0.7789   0.7977
    32    0.7908   0.7759   0.7976
    33    0.7907   0.7760   0.7976
    34    0.7898   0.7722   0.7967
    35    0.7920   0.7791   0.7967

PTQ(base) row cosine vs base:
  mean = 0.7855
  median = 0.7924
  range = [0.4976, 0.7988]
  prediction sqrt(2/pi) ≈ 0.7979 (Gaussian ideal)
